Order_ID,Order_Date,Customer_ID,Product_ID,Store_ID,Quantity,Discount_Percent,Gross_Sales,Discount_Amount,Revenue,Profit,Payment_Method
ORD00023,2025-01-30,C0369,P027,S001,1,15,450,67.5,382.5,142.5,Cash
ORD00024,2026-11-21,C0140,P062,S006,1,0,280,0.0,280.0,120.0,Wallet
ORD00025,2025-05-23,C0011,P042,S002,1,0,90,0.0,90.0,35.0,Credit Card
ORD00026,2025-11-06,C0327,P027,S006,2,0,900,0.0,900.0,420.0,Debit Card
ORD00027,2024-05-07,C0227,P056,S008,2,5,120,6.0,114.0,44.0,UPI
ORD00028,2025-09-28,C0088,P056,S005,2,5,120,6.0,114.0,44.0,Wallet
ORD00029,2025-03-28,C0036,P038,S001,1,0,300,0.0,300.0,80.0,UPI
ORD00030,2026-02-04,C0063,P068,S005,1,5,250,12.5,237.5,97.5,Credit Card
ORD00031,2025-03-23,C0243,P044,S002,3,10,360,36.0,324.0,114.0,Credit Card
ORD00032,2026-12-12,C0176,P072,S001,2,0,240,0.0,240.0,120.0,Credit Card
ORD00033,2026-11-01,C0260,P001,S006,2,0,2400,0.0,2400.0,900.0,Cash
ORD00034,2025-02-24,C0034,P046,S008,2,5,800,40.0,760.0,240.0,Cash
ORD00035,2024-04-23,C0306,P041,S008,2,5,60,3.0,57.0,17.0,Credit Card
ORD00036,2026-08-04,C0191,P005,S008,2,0,600,0.0,600.0,300.0,UPI
ORD00037,2024-01-07,C0379,P027,S006,2,5,900,45.0,855.0,375.0,UPI
ORD00038,2024-05-10,C0069,P040,S001,2,0,110,0.0,110.0,26.0,Cash
ORD00039,2026-08-24,C0290,P095,S008,1,0,600,0.0,600.0,280.0,Debit Card
ORD00040,2026-05-10,C0108,P072,S005,1,15,120,18.0,102.0,42.0,Credit Card
ORD00041,2026-02-12,C0034,P090,S008,1,10,300,30.0,270.0,120.0,Debit Card
ORD00042,2025-12-08,C0121,P042,S002,1,0,90,0.0,90.0,35.0,Wallet
ORD00043,2024-02-16,C0095,P069,S007,5,5,1100,55.0,1045.0,445.0,Debit Card
ORD00044,2026-02-15,C0346,P041,S003,3,0,90,0.0,90.0,30.0,UPI
ORD00045,2024-08-19,C0002,P027,S002,1,10,450,45.0,405.0,165.0,Credit Card
ORD00046,2024-02-02,C0009,P086,S007,1,0,1500,0.0,1500.0,600.0,Credit Card
ORD00047,2024-04-09,C0172,P037,S002,1,0,650,0.0,650.0,150.0,Credit Card
ORD00048,2024-04-25,C0076,P047,S005,1,20,250,50.0,200.0,50.0,UPI
ORD00049,2025-10-15,C0198,P093,S001,3,10,1350,135.0,1215.0,465.0,UPI
ORD00050,2026-12-03,C0321,P084,S002,1,0,180,0.0,180.0,90.0,Wallet
ORD00051,2024-12-24,C0043,P073,S004,1,5,900,45.0,855.0,205.0,Wallet
ORD00052,2026-02-19,C0368,P090,S003,3,0,900,0.0,900.0,450.0,Credit Card
ORD00053,2026-02-09,C0182,P023,S005,1,5,220,11.0,209.0,109.0,UPI
ORD00054,2024-10-22,C0382,P026,S006,4,5,640,32.0,608.0,308.0,Wallet
ORD00055,2024-10-01,C0284,P043,S008,1,0,280,0.0,280.0,110.0,UPI
ORD00056,2026-01-29,C0029,P046,S006,1,10,400,40.0,360.0,100.0,UPI
ORD00057,2024-03-21,C0390,P030,S007,3,0,540,0.0,540.0,300.0,Debit Card
ORD00058,2025-03-20,C0115,P061,S006,2,15,700,105.0,595.0,195.0,UPI
ORD00059,2024-02-01,C0400,P086,S002,1,0,1500,0.0,1500.0,600.0,Debit Card
ORD00060,2026-09-07,C0398,P063,S004,4,10,480,48.0,432.0,152.0,Debit Card
ORD00061,2025-05-05,C0103,P041,S004,2,10,60,6.0,54.0,14.0,UPI
ORD00062,2026-01-05,C0129,P038,S008,1,0,300,0.0,300.0,80.0,Cash
ORD00063,2026-08-19,C0074,P044,S004,3,0,360,0.0,360.0,150.0,UPI
ORD00064,2024-04-03,C0278,P035,S005,2,0,600,0.0,600.0,300.0,UPI
ORD00065,2026-05-05,C0338,P030,S006,1,0,180,0.0,180.0,100.0,UPI
ORD00066,2025-05-18,C0196,P053,S002,2,10,240,24.0,216.0,76.0,Debit Card
ORD00067,2026-09-27,C0065,P028,S005,4,5,1400,70.0,1330.0,610.0,Credit Card
ORD00068,2025-12-09,C0342,P015,S008,2,15,700,105.0,595.0,235.0,Credit Card
ORD00069,2024-04-30,C0213,P055,S003,2,10,180,18.0,162.0,62.0,UPI
ORD00070,2024-04-09,C0211,P070,S008,3,0,900,0.0,900.0,390.0,Cash
ORD00071,2024-12-04,C0373,P036,S007,2,0,400,0.0,400.0,220.0,Debit Card
ORD00072,2026-09-16,C0366,P087,S004,2,0,1400,0.0,1400.0,600.0,Credit Card
ORD00073,2024-02-04,C0043,P044,S004,2,0,240,0.0,240.0,100.0,Wallet
ORD00074,2026-05-31,C0366,P002,S004,3,15,2700,405.0,2295.0,735.0,UPI
ORD00075,2024-10-31,C0241,P011,S008,2,0,5000,0.0,5000.0,1600.0,UPI
ORD00076,2024-06-10,C0176,P067,S001,1,0,450,0.0,450.0,170.0,Credit Card
ORD00077,2025-04-07,C0199,P087,S004,1,10,700,70.0,630.0,230.0,UPI
ORD00078,2024-03-05,C0218,P092,S008,1,0,1800,0.0,1800.0,700.0,Credit Card
ORD00079,2024-01-20,C0219,P008,S007,2,0,1200,0.0,1200.0,560.0,Cash
ORD00080,2025-11-09,C0023,P059,S008,3,0,300,0.0,300.0,135.0,Credit Card
ORD00081,2025-03-08,C0106,P003,S007,4,10,1400,140.0,1260.0,540.0,Credit Card
ORD00082,2024-06-01,C0036,P029,S001,2,0,1300,0.0,1300.0,540.0,Credit Card
ORD00083,2025-01-02,C0124,P051,S005,4,0,640,0.0,640.0,260.0,Wallet
ORD00084,2026-03-26,C0039,P050,S003,4,0,600,0.0,600.0,240.0,Credit Card
ORD00085,2026-03-07,C0107,P053,S001,2,5,240,12.0,228.0,88.0,UPI
ORD00086,2024-06-09,C0168,P067,S008,2,20,900,180.0,720.0,160.0,UPI
ORD00087,2024-06-04,C0203,P038,S005,1,10,300,30.0,270.0,50.0,Wallet
ORD00088,2025-11-04,C0267,P039,S006,3,5,540,27.0,513.0,93.0,UPI
ORD00089,2026-02-07,C0034,P042,S008,1,10,90,9.0,81.0,26.0,Debit Card
ORD00090,2025-08-27,C0060,P006,S003,3,10,1950,195.0,1755.0,705.0,UPI
ORD00091,2024-11-11,C0006,P017,S006,1,0,250,0.0,250.0,120.0,UPI
ORD00092,2026-01-07,C0206,P029,S007,3,0,1950,0.0,1950.0,810.0,UPI
ORD00093,2026-11-15,C0232,P048,S004,1,0,450,0.0,450.0,150.0,UPI
ORD00094,2025-10-26,C0184,P057,S008,1,0,140,0.0,140.0,60.0,Debit Card
ORD00095,2025-05-12,C0204,P067,S005,2,0,900,0.0,900.0,340.0,UPI
ORD00096,2025-09-08,C0219,P019,S007,1,0,900,0.0,900.0,400.0,UPI
ORD00097,2025-09-05,C0047,P025,S004,2,0,440,0.0,440.0,220.0,UPI
ORD00098,2026-10-12,C0055,P033,S002,1,0,280,0.0,280.0,140.0,UPI
ORD00099,2025-11-11,C0361,P090,S006,1,15,300,45.0,255.0,105.0,Credit Card
ORD00100,2024-10-05,C0173,P043,S008,2,10,560,56.0,504.0,164.0,Credit Card
ORD00101,2026-03-26,C0139,P014,S006,4,0,2800,0.0,2800.0,1280.0,Debit Card
ORD00102,2025-05-11,C0056,P042,S006,1,0,90,0.0,90.0,35.0,Debit Card
ORD00103,2025-02-13,C0091,P037,S006,2,5,1300,65.0,1235.0,235.0,Debit Card
ORD00104,2026-08-03,C0050,P044,S004,4,0,480,0.0,480.0,200.0,Debit Card
ORD00105,2024-05-21,C0075,P068,S001,3,10,750,75.0,675.0,255.0,Credit Card
ORD00106,2025-09-12,C0207,P042,S001,1,10,90,9.0,81.0,26.0,Debit Card
ORD00107,2024-05-31,C0164,P065,S001,1,5,140,7.0,133.0,63.0,Credit Card
ORD00108,2026-05-06,C0264,P042,S002,2,10,180,18.0,162.0,52.0,UPI
ORD00109,2024-06-23,C0021,P088,S008,1,0,2000,0.0,2000.0,700.0,Debit Card
ORD00110,2024-03-31,C0156,P023,S003,2,5,440,22.0,418.0,218.0,Debit Card
ORD00111,2025-11-10,C0119,P094,S004,1,0,350,0.0,350.0,180.0,UPI
ORD00112,2026-11-28,C0270,P039,S005,2,0,360,0.0,360.0,80.0,UPI
ORD00113,2026-10-04,C0308,P047,S007,2,0,500,0.0,500.0,200.0,Wallet
ORD00114,2024-10-17,C0382,P004,S006,1,10,1500,150.0,1350.0,450.0,Credit Card
ORD00115,2024-07-18,C0185,P045,S006,1,10,350,35.0,315.0,95.0,UPI
ORD00116,2024-08-23,C0020,P027,S006,1,0,450,0.0,450.0,210.0,UPI
ORD00117,2025-05-14,C0173,P070,S008,2,5,600,30.0,570.0,230.0,UPI
ORD00118,2026-08-04,C0040,P044,S007,1,0,120,0.0,120.0,50.0,UPI
ORD00119,2026-06-04,C0072,P053,S007,1,10,120,12.0,108.0,38.0,Cash
ORD00120,2026-05-29,C0171,P044,S001,1,10,120,12.0,108.0,38.0,UPI
ORD00121,2024-05-08,C0174,P062,S008,2,10,560,56.0,504.0,184.0,Credit Card
ORD00122,2025-02-07,C0058,P048,S006,2,0,900,0.0,900.0,300.0,Cash
ORD00123,2025-10-03,C0071,P039,S004,2,5,360,18.0,342.0,62.0,UPI
ORD00124,2024-12-19,C0015,P081,S004,2,0,400,0.0,400.0,160.0,Credit Card
ORD00125,2024-10-01,C0252,P009,S001,1,0,800,0.0,800.0,350.0,UPI
ORD00126,2026-03-06,C0285,P024,S006,1,0,180,0.0,180.0,95.0,UPI
ORD00127,2024-12-20,C0291,P035,S003,2,0,600,0.0,600.0,300.0,UPI
ORD00128,2024-04-19,C0289,P042,S006,3,20,270,54.0,216.0,51.0,Credit Card
ORD00129,2026-02-25,C0271,P035,S007,4,5,1200,60.0,1140.0,540.0,Credit Card
ORD00130,2026-05-01,C0241,P056,S008,2,0,120,0.0,120.0,50.0,UPI
ORD00131,2025-03-27,C0172,P058,S002,1,0,40,0.0,40.0,18.0,Credit Card
ORD00132,2026-07-25,C0301,P021,S005,2,10,2000,200.0,1800.0,600.0,Credit Card
ORD00133,2024-08-21,C0025,P041,S005,1,5,30,1.5,28.5,8.5,Wallet
ORD00134,2024-03-26,C0128,P041,S007,3,0,90,0.0,90.0,30.0,UPI
ORD00135,2025-05-21,C0311,P043,S003,1,20,280,56.0,224.0,54.0,Credit Card
ORD00136,2024-06-27,C0073,P048,S003,1,20,450,90.0,360.0,60.0,Debit Card
ORD00137,2025-12-19,C0384,P031,S003,2,0,240,0.0,240.0,140.0,Credit Card
ORD00138,2025-02-27,C0194,P068,S006,3,5,750,37.5,712.5,292.5,Credit Card
ORD00139,2024-12-10,C0137,P056,S008,2,0,120,0.0,120.0,50.0,UPI
ORD00140,2024-07-14,C0021,P073,S008,1,10,900,90.0,810.0,160.0,Credit Card
ORD00141,2025-07-21,C0288,P008,S001,3,0,1800,0.0,1800.0,840.0,Cash
ORD00142,2025-10-21,C0370,P031,S004,3,10,360,36.0,324.0,174.0,Credit Card
ORD00143,2025-07-04,C0177,P059,S001,2,0,200,0.0,200.0,90.0,UPI
ORD00144,2024-07-09,C0132,P064,S007,1,10,80,8.0,72.0,37.0,Debit Card
ORD00145,2026-07-20,C0275,P081,S002,4,0,800,0.0,800.0,320.0,UPI
ORD00146,2024-07-09,C0159,P063,S002,2,5,240,12.0,228.0,88.0,Debit Card
ORD00147,2024-05-09,C0148,P045,S005,3,0,1050,0.0,1050.0,390.0,Wallet
ORD00148,2026-10-10,C0328,P064,S006,3,0,240,0.0,240.0,135.0,Credit Card
ORD00149,2026-09-20,C0355,P053,S002,3,15,360,54.0,306.0,96.0,Debit Card
ORD00150,2026-07-30,C0317,P010,S008,1,15,250,37.5,212.5,102.5,UPI
ORD00151,2026-05-26,C0073,P043,S003,1,10,280,28.0,252.0,82.0,UPI
ORD00152,2024-11-21,C0181,P055,S004,3,0,270,0.0,270.0,120.0,UPI
ORD00153,2024-12-20,C0088,P012,S005,1,10,180,18.0,162.0,82.0,UPI
ORD00154,2024-07-13,C0074,P056,S004,1,5,60,3.0,57.0,22.0,UPI
ORD00155,2026-06-30,C0254,P025,S005,1,10,220,22.0,198.0,88.0,Cash
ORD00156,2026-05-14,C0091,P093,S006,2,5,900,45.0,855.0,355.0,UPI
ORD00157,2024-07-28,C0386,P001,S006,1,0,1200,0.0,1200.0,450.0,UPI
ORD00158,2024-09-29,C0345,P041,S003,2,10,60,6.0,54.0,14.0,UPI
ORD00159,2024-12-02,C0051,P060,S001,2,5,140,7.0,133.0,53.0,UPI
ORD00160,2026-06-25,C0076,P044,S005,3,0,360,0.0,360.0,150.0,UPI
ORD00161,2026-02-25,C0204,P065,S005,1,0,140,0.0,140.0,70.0,Debit Card
ORD00162,2024-06-21,C0337,P028,S007,1,5,350,17.5,332.5,152.5,Debit Card
ORD00163,2024-02-24,C0133,P030,S008,3,10,540,54.0,486.0,246.0,UPI
ORD00164,2026-11-20,C0019,P037,S005,1,0,650,0.0,650.0,150.0,Cash
ORD00165,2026-10-10,C0164,P091,S001,1,5,250,12.5,237.5,127.5,UPI
ORD00166,2024-01-25,C0107,P082,S001,5,15,1400,210.0,1190.0,440.0,UPI
ORD00167,2026-05-11,C0204,P073,S005,1,10,900,90.0,810.0,160.0,Debit Card
ORD00168,2024-05-29,C0062,P086,S001,1,0,1500,0.0,1500.0,600.0,UPI
ORD00169,2024-05-03,C0377,P004,S008,4,0,6000,0.0,6000.0,2400.0,UPI
ORD00170,2026-04-30,C0306,P064,S008,1,0,80,0.0,80.0,45.0,Debit Card
ORD00171,2024-11-08,C0066,P045,S007,1,5,350,17.5,332.5,112.5,UPI
ORD00172,2025-10-31,C0303,P072,S007,2,10,240,24.0,216.0,96.0,Debit Card
ORD00173,2026-06-14,C0375,P005,S007,2,10,600,60.0,540.0,240.0,UPI
ORD00174,2026-06-08,C0355,P008,S002,1,5,600,30.0,570.0,250.0,UPI
ORD00175,2024-12-30,C0203,P057,S005,1,0,140,0.0,140.0,60.0,Credit Card
ORD00176,2026-11-25,C0006,P047,S006,2,0,500,0.0,500.0,200.0,UPI
ORD00177,2025-07-04,C0379,P068,S006,2,0,500,0.0,500.0,220.0,Cash
ORD00178,2026-05-29,C0046,P026,S002,1,0,160,0.0,160.0,85.0,Debit Card
ORD00179,2024-06-06,C0228,P051,S006,2,5,320,16.0,304.0,114.0,UPI
ORD00180,2024-12-07,C0138,P079,S004,1,0,500,0.0,500.0,220.0,Credit Card
ORD00181,2025-04-12,C0090,P070,S008,2,0,600,0.0,600.0,260.0,Cash
ORD00182,2024-04-04,C0310,P008,S002,2,0,1200,0.0,1200.0,560.0,UPI
ORD00183,2024-03-13,C0233,P090,S004,2,15,600,90.0,510.0,210.0,Debit Card
ORD00184,2025-10-21,C0359,P046,S002,4,0,1600,0.0,1600.0,560.0,Cash
ORD00185,2024-09-01,C0378,P060,S007,2,15,140,21.0,119.0,39.0,UPI
ORD00186,2024-04-04,C0059,P061,S002,4,0,1400,0.0,1400.0,600.0,Credit Card
ORD00187,2025-09-28,C0003,P031,S004,1,5,120,6.0,114.0,64.0,UPI
ORD00188,2025-09-14,C0252,P031,S001,2,0,240,0.0,240.0,140.0,UPI
ORD00189,2025-02-04,C0080,P087,S002,2,5,1400,70.0,1330.0,530.0,Debit Card
ORD00190,2026-04-19,C0178,P022,S008,1,5,1500,75.0,1425.0,475.0,Debit Card
ORD00191,2024-01-20,C0017,P053,S006,4,0,480,0.0,480.0,200.0,Debit Card
ORD00192,2025-09-21,C0235,P080,S005,1,5,1800,90.0,1710.0,510.0,UPI
ORD00193,2024-05-02,C0328,P040,S006,5,0,275,0.0,275.0,65.0,UPI
ORD00194,2025-04-19,C0268,P009,S005,3,5,2400,120.0,2280.0,930.0,Debit Card
ORD00195,2024-06-22,C0183,P043,S001,2,5,560,28.0,532.0,192.0,Debit Card
ORD00196,2024-05-07,C0162,P041,S005,1,20,30,6.0,24.0,4.0,UPI
ORD00197,2025-10-07,C0173,P026,S008,1,10,160,16.0,144.0,69.0,UPI
ORD00198,2025-04-23,C0289,P047,S006,1,0,250,0.0,250.0,100.0,Debit Card
ORD00199,2024-11-27,C0278,P059,S005,2,0,200,0.0,200.0,90.0,Credit Card
ORD00200,2025-03-01,C0319,P092,S007,2,5,3600,180.0,3420.0,1220.0,Cash
ORD00201,2025-09-15,C0270,P008,S005,3,10,1800,180.0,1620.0,660.0,UPI
ORD00202,2025-12-31,C0369,P064,S001,1,0,80,0.0,80.0,45.0,Credit Card
ORD00203,2025-06-16,C0094,P050,S007,3,0,450,0.0,450.0,180.0,Wallet
ORD00204,2025-05-26,C0372,P075,S008,1,0,300,0.0,300.0,130.0,Debit Card
ORD00205,2024-05-06,C0129,P019,S008,3,20,2700,540.0,2160.0,660.0,UPI
ORD00206,2026-02-01,C0163,P067,S005,2,15,900,135.0,765.0,205.0,UPI
ORD00207,2024-06-02,C0003,P058,S004,1,0,40,0.0,40.0,18.0,Wallet
ORD00208,2024-09-20,C0006,P043,S006,1,10,280,28.0,252.0,82.0,Cash
ORD00209,2026-08-02,C0129,P024,S008,1,15,180,27.0,153.0,68.0,Credit Card
ORD00210,2026-12-27,C0070,P071,S003,1,0,180,0.0,180.0,80.0,Wallet
ORD00211,2026-07-02,C0160,P035,S007,3,0,900,0.0,900.0,450.0,Credit Card
ORD00212,2025-08-27,C0091,P026,S006,2,15,320,48.0,272.0,122.0,Credit Card
ORD00213,2026-02-23,C0130,P006,S006,1,0,650,0.0,650.0,300.0,Cash
ORD00214,2024-02-09,C0247,P039,S004,5,10,900,90.0,810.0,110.0,UPI
ORD00215,2026-09-19,C0334,P044,S005,1,5,120,6.0,114.0,44.0,UPI
ORD00216,2024-02-23,C0280,P031,S003,1,0,120,0.0,120.0,70.0,Cash
ORD00217,2024-04-29,C0164,P062,S001,3,5,840,42.0,798.0,318.0,UPI
ORD00218,2025-04-21,C0087,P058,S005,5,0,200,0.0,200.0,90.0,Debit Card
ORD00219,2024-04-24,C0052,P032,S003,3,15,600,90.0,510.0,225.0,Credit Card
ORD00220,2026-03-06,C0217,P086,S002,1,10,1500,150.0,1350.0,450.0,Cash
ORD00221,2025-10-13,C0118,P019,S004,2,15,1800,270.0,1530.0,530.0,UPI
ORD00222,2024-10-18,C0245,P061,S007,1,20,350,70.0,280.0,80.0,Cash
ORD00223,2025-09-24,C0144,P048,S005,1,0,450,0.0,450.0,150.0,UPI
ORD00224,2024-02-10,C0341,P060,S005,2,0,140,0.0,140.0,60.0,Wallet
ORD00225,2024-09-24,C0106,P036,S007,1,0,200,0.0,200.0,110.0,Cash
ORD00226,2024-05-01,C0382,P080,S006,1,5,1800,90.0,1710.0,510.0,Wallet
ORD00227,2026-12-13,C0229,P066,S007,4,0,1200,0.0,1200.0,480.0,Wallet
ORD00228,2024-07-25,C0038,P042,S004,1,0,90,0.0,90.0,35.0,Wallet
ORD00229,2026-06-13,C0033,P072,S004,3,20,360,72.0,288.0,108.0,Debit Card
ORD00230,2025-12-31,C0261,P019,S007,2,0,1800,0.0,1800.0,800.0,UPI
ORD00231,2024-09-17,C0382,P055,S006,1,0,90,0.0,90.0,40.0,Debit Card
ORD00232,2024-03-07,C0198,P058,S001,1,0,40,0.0,40.0,18.0,Cash
ORD00233,2024-08-01,C0343,P052,S007,4,0,200,0.0,200.0,80.0,Debit Card
ORD00234,2025-10-12,C0367,P035,S002,3,10,900,90.0,810.0,360.0,Debit Card
ORD00235,2024-01-24,C0018,P027,S003,1,0,450,0.0,450.0,210.0,UPI
ORD00236,2024-08-09,C0376,P027,S002,2,0,900,0.0,900.0,420.0,Credit Card
ORD00237,2024-12-06,C0307,P046,S008,2,0,800,0.0,800.0,280.0,Credit Card
ORD00238,2026-09-08,C0166,P024,S001,3,5,540,27.0,513.0,258.0,Debit Card
ORD00239,2026-07-13,C0145,P027,S006,1,10,450,45.0,405.0,165.0,UPI
ORD00240,2024-08-02,C0117,P026,S006,1,0,160,0.0,160.0,85.0,UPI
ORD00241,2024-07-09,C0217,P071,S002,1,20,180,36.0,144.0,44.0,Cash
ORD00242,2026-06-02,C0063,P062,S005,4,0,1120,0.0,1120.0,480.0,Cash
ORD00243,2024-07-26,C0311,P021,S003,1,20,1000,200.0,800.0,200.0,Credit Card
ORD00244,2025-06-27,C0344,P044,S007,2,0,240,0.0,240.0,100.0,UPI
ORD00245,2026-11-16,C0036,P037,S001,1,0,650,0.0,650.0,150.0,Cash
ORD00246,2026-09-10,C0261,P060,S007,1,0,70,0.0,70.0,30.0,UPI
ORD00247,2024-06-16,C0030,P026,S002,2,0,320,0.0,320.0,170.0,Debit Card
ORD00248,2025-06-26,C0073,P045,S003,1,5,350,17.5,332.5,112.5,UPI
ORD00249,2026-01-26,C0247,P076,S004,1,0,250,0.0,250.0,130.0,Credit Card
ORD00250,2025-07-04,C0049,P025,S007,2,0,440,0.0,440.0,220.0,Debit Card
ORD00251,2025-12-05,C0377,P012,S008,1,10,180,18.0,162.0,82.0,UPI
ORD00252,2026-03-03,C0354,P009,S008,3,0,2400,0.0,2400.0,1050.0,Credit Card
ORD00253,2026-08-30,C0319,P082,S007,2,0,560,0.0,560.0,260.0,UPI
ORD00254,2024-03-12,C0044,P037,S003,2,15,1300,195.0,1105.0,105.0,Cash
ORD00255,2024-11-27,C0361,P054,S006,1,20,110,22.0,88.0,23.0,Wallet
ORD00256,2024-09-15,C0353,P071,S002,1,0,180,0.0,180.0,80.0,Debit Card
ORD00257,2024-10-29,C0096,P025,S007,1,15,220,33.0,187.0,77.0,Wallet
ORD00258,2026-03-05,C0081,P007,S002,2,5,900,45.0,855.0,415.0,Cash
ORD00259,2024-01-26,C0248,P044,S006,3,5,360,18.0,342.0,132.0,Credit Card
ORD00260,2026-04-28,C0014,P045,S004,1,5,350,17.5,332.5,112.5,Credit Card
ORD00261,2024-07-24,C0326,P089,S001,4,5,3200,160.0,3040.0,1240.0,UPI
ORD00262,2025-12-05,C0208,P036,S008,1,10,200,20.0,180.0,90.0,Credit Card
ORD00263,2024-12-18,C0337,P046,S007,1,5,400,20.0,380.0,120.0,Debit Card
ORD00264,2025-11-09,C0166,P007,S001,1,5,450,22.5,427.5,207.5,UPI
ORD00265,2025-11-22,C0296,P044,S003,1,0,120,0.0,120.0,50.0,Credit Card
ORD00266,2024-07-20,C0318,P056,S005,5,0,300,0.0,300.0,125.0,UPI
ORD00267,2025-10-19,C0372,P063,S008,1,5,120,6.0,114.0,44.0,UPI
ORD00268,2026-04-13,C0250,P032,S008,2,10,400,40.0,360.0,170.0,Cash
ORD00269,2026-11-21,C0032,P067,S005,1,10,450,45.0,405.0,125.0,Credit Card
ORD00270,2026-12-09,C0298,P071,S002,1,0,180,0.0,180.0,80.0,Cash
ORD00271,2025-05-25,C0178,P070,S008,1,0,300,0.0,300.0,130.0,UPI
ORD00272,2026-01-24,C0319,P028,S007,3,5,1050,52.5,997.5,457.5,Debit Card
ORD00273,2024-03-03,C0145,P022,S006,1,5,1500,75.0,1425.0,475.0,Credit Card
ORD00274,2026-08-29,C0230,P085,S002,2,0,2400,0.0,2400.0,1000.0,UPI
ORD00275,2024-07-04,C0199,P088,S004,1,0,2000,0.0,2000.0,700.0,UPI
ORD00276,2025-03-14,C0134,P051,S005,3,5,480,24.0,456.0,171.0,Debit Card
ORD00277,2026-04-18,C0380,P033,S008,2,15,560,84.0,476.0,196.0,Wallet
ORD00278,2026-08-28,C0089,P053,S006,4,5,480,24.0,456.0,176.0,Credit Card
ORD00279,2025-05-31,C0345,P005,S003,2,15,600,90.0,510.0,210.0,Debit Card
ORD00280,2025-07-17,C0052,P062,S003,1,0,280,0.0,280.0,120.0,UPI
ORD00281,2026-08-13,C0067,P029,S005,1,5,650,32.5,617.5,237.5,Debit Card
ORD00282,2024-01-16,C0221,P054,S004,2,10,220,22.0,198.0,68.0,Cash
ORD00283,2025-08-01,C0278,P037,S005,1,0,650,0.0,650.0,150.0,UPI
ORD00284,2025-10-27,C0176,P088,S001,1,10,2000,200.0,1800.0,500.0,Cash
ORD00285,2024-11-03,C0294,P032,S002,1,0,200,0.0,200.0,105.0,Cash
ORD00286,2026-04-07,C0089,P066,S006,2,10,600,60.0,540.0,180.0,Debit Card
ORD00287,2025-08-28,C0187,P052,S007,1,0,50,0.0,50.0,20.0,UPI
ORD00288,2025-01-23,C0137,P005,S008,1,10,300,30.0,270.0,120.0,Debit Card
ORD00289,2026-09-01,C0203,P059,S005,4,10,400,40.0,360.0,140.0,Credit Card
ORD00290,2025-01-05,C0043,P082,S004,1,5,280,14.0,266.0,116.0,Debit Card
ORD00291,2025-01-09,C0211,P066,S008,4,15,1200,180.0,1020.0,300.0,Debit Card
ORD00292,2025-04-02,C0091,P032,S006,2,0,400,0.0,400.0,210.0,Debit Card
ORD00293,2025-06-17,C0022,P032,S003,2,5,400,20.0,380.0,190.0,UPI
ORD00294,2024-05-25,C0106,P010,S007,2,0,500,0.0,500.0,280.0,UPI
ORD00295,2026-12-21,C0374,P051,S003,1,15,160,24.0,136.0,41.0,UPI
ORD00296,2026-04-18,C0207,P034,S001,5,15,1250,187.5,1062.5,462.5,Wallet
ORD00297,2025-01-04,C0025,P024,S005,3,5,540,27.0,513.0,258.0,Debit Card
ORD00298,2024-04-28,C0307,P023,S008,1,0,220,0.0,220.0,120.0,Debit Card
